,user_id,lgb
0,1,"[8293439, 9655212, 9527558, 5577022, 1049998]"
2,6,"[12757544, 895268, 897088, 13115971, 9420159]"
3,7,"[840386, 9338009, 983316, 9527174, 993838]"
4,8,"[8181377, 8159536, 1021715, 930385, 983795]"
5,9,"[12171886, 12172071, 8019977, 907647, 862799]"
6,13,"[886317, 1038985, 9488065, 9859111, 1075007]"
7,14,"[1129609, 861419, 878445, 6979753, 1063707]"
8,15,"[895268, 9837394, 1082310, 931757, 9881592]"
9,16,"[12263788, 844165, 951590, 923746, 981760]"
10,17,"[833351, 842416, 896085, 1076516, 924004]"
11,18,"[938118, 1029313, 961620, 914577, 921277]"
12,19,"[1090286, 1000236, 1012052, 992933, 8181010]"
13,20,"[1075368, 995628, 944836, 993441, 12263626]"
14,22,"[1076954, 1104349, 13115981, 1130111, 1120362]"
15,23,"[1076306, 1138858, 1075368, 838097, 7409942]"
16,24,"[1036501, 926905, 1016800, 1008814, 9835619]"
17,25,"[991442, 898510, 15926927, 929018, 12949590]"
18,26,"[9707137, 1081533, 972235, 1038462, 9420312]"
19,27,"[1102416, 963686, 996425, 1077409, 1058709]"
20,28,"[6533911, 861419, 6533368, 8119129, 1105120]"
21,29,"[898510, 881154, 925437, 837366, 924978]"
22,30,"[909714, 908318, 827667, 961269, 873627]"
23,31,"[907647, 1131133, 1062128, 968992, 7169088]"
24,32,"[1094924, 908312, 1003649, 935993, 9836752]"
25,33,"[9831469, 1075032, 920844, 12810472, 1084036]"
26,34,"[844179, 1044078, 879755, 916122, 981760]"
27,35,"[6464165, 864335, 994223, 9297062, 933527]"
28,36,"[1097991, 7409970, 1089452, 7410289, 849578]"
29,37,"[898448, 1097001, 1056212, 1092026, 862732]"
30,39,"[1127716, 9416729, 9655212, 880050, 6395907]"
31,40,"[928263, 995852, 1083043, 1112205, 928092]"
32,41,"[9419888, 1120009, 958657, 6961848, 1075275]"
33,42,"[6602697, 932462, 842249, 829621, 897953]"
34,43,"[1090286, 6513810, 8249365, 1065496, 14077333]"
35,46,"[862335, 979523, 1130517, 821209, 6704207]"
36,47,"[8119318, 8119103, 904813, 6533681, 1039781]"
38,49,"[1139782, 867016, 7409644, 1009361, 1033814]"
39,52,"[10355865, 837669, 1116020, 883940, 878026]"
40,53,"[1105623, 848154, 964853, 833940, 944823]"
41,55,"[844165, 1012052, 882496, 1110743, 12695656]"
42,56,"[9655212, 9803545, 891415, 1003321, 1023226]"
43,57,"[1010870, 9245108, 872062, 970160, 13213475]"
44,58,"[1054216, 1016129, 1008212, 915493, 1093966]"
45,59,"[10457128, 919180, 1086061, 1088683, 855718]"
47,63,"[872342, 1126899, 995242, 834117, 9858920]"
48,64,"[1013928, 828370, 1093413, 902659, 952893]"
